EmpId,Date,Present,IsManual,InTime,OutTime,InDiff,OutDiff,IsLate,EarlyDeparture,MachineNo,IPAddress
E0027,2025-01-02,True,False,10:25:47,20:07:46,-4.22,7.77,False,False,M03,192.168.1.20
E0028,2025-01-02,True,False,10:34:53,20:08:07,4.88,8.12,True,False,M03,192.168.1.20
E0029,2025-01-02,True,False,10:34:54,19:42:29,4.9,-17.52,True,True,M01,192.168.1.10
E0030,2025-01-02,True,False,10:31:36,19:47:49,1.6,-12.18,True,True,M01,192.168.1.10
E0031,2025-01-02,True,False,10:45:47,20:22:04,15.78,22.07,True,False,M02,192.168.1.15
E0032,2025-01-02,True,False,10:24:32,19:54:29,-5.47,-5.52,False,True,M03,192.168.1.20
E0033,2025-01-02,True,False,10:34:04,20:00:39,4.07,0.65,True,False,M01,192.168.1.10
E0034,2025-01-02,True,False,10:32:27,20:25:37,2.45,25.62,True,False,M03,192.168.1.20
E0035,2025-01-02,True,False,10:38:40,19:46:19,8.67,-13.68,True,True,M02,192.168.1.15
E0036,2025-01-02,True,False,10:28:20,19:42:05,-1.67,-17.92,False,True,M01,192.168.1.10
E0037,2025-01-02,True,False,10:30:23,19:40:15,0.38,-19.75,True,True,M03,192.168.1.20
E0038,2025-01-02,True,False,10:38:56,20:12:15,8.93,12.25,True,False,M03,192.168.1.20
E0039,2025-01-02,True,False,10:34:53,19:51:04,4.88,-8.93,True,True,M01,192.168.1.10
E0040,2025-01-02,True,False,13:51:38,23:00:59,201.63,180.98,True,False,M01,192.168.1.10
E0041,2025-01-02,True,False,10:44:12,20:11:13,14.2,11.22,True,False,M02,192.168.1.15
E0042,2025-01-02,True,False,10:41:06,20:31:42,11.1,31.7,True,False,M01,192.168.1.10
E0043,2025-01-02,True,False,10:55:24,20:16:14,25.4,16.23,True,False,M03,192.168.1.20
E0044,2025-01-02,True,False,10:37:36,20:13:54,7.6,13.9,True,False,M01,192.168.1.10
E0045,2025-01-02,True,False,10:41:10,20:14:44,11.17,14.73,True,False,M03,192.168.1.20
E0046,2025-01-02,True,False,10:18:35,20:06:38,-11.42,6.63,False,False,M01,192.168.1.10
E0047,2025-01-02,True,False,10:29:32,19:27:39,-0.47,-32.35,False,True,M01,192.168.1.10
E0048,2025-01-02,True,False,10:21:48,20:05:39,-8.2,5.65,False,False,M02,192.168.1.15
E0049,2025-01-02,True,False,10:37:45,20:23:25,7.75,23.42,True,False,M01,192.168.1.10
E0050,2025-01-02,False,,,,,,,,,
E0051,2025-01-02,True,False,10:14:20,19:55:28,-15.67,-4.53,False,True,M02,192.168.1.15
E0052,2025-01-02,True,False,10:37:26,19:45:13,7.43,-14.78,True,True,M01,192.168.1.10
E0053,2025-01-02,True,False,10:34:41,19:55:26,4.68,-4.57,True,True,M01,192.168.1.10
E0054,2025-01-02,True,False,10:27:22,19:30:49,-2.63,-29.18,False,True,M01,192.168.1.10
E0055,2025-01-02,True,False,10:27:54,20:05:59,-2.1,5.98,False,False,M04_HQ,10.0.0.5
E0056,2025-01-02,True,False,10:28:54,,-1.1,,False,,M02,192.168.1.15
E0057,2025-01-02,True,False,10:33:47,19:46:13,3.78,-13.78,True,True,M01,192.168.1.10
E0058,2025-01-02,True,False,10:28:49,19:43:07,-1.18,-16.88,False,True,M03,192.168.1.20
E0059,2025-01-02,True,False,10:17:57,20:07:42,-12.05,7.7,False,False,M02,192.168.1.15
E0060,2025-01-02,True,False,10:35:12,20:00:14,5.2,0.23,True,False,M01,192.168.1.10
E0061,2025-01-02,True,False,10:25:00,19:38:19,-5.0,-21.68,False,True,M03,192.168.1.20
E0062,2025-01-02,True,False,10:45:04,20:23:21,15.07,23.35,True,False,M03,192.168.1.20
E0063,2025-01-02,True,False,10:33:58,20:01:15,3.97,1.25,True,False,M01,192.168.1.10
E0064,2025-01-02,True,False,10:24:46,20:02:12,-5.23,2.2,False,False,M01,192.168.1.10
E0065,2025-01-02,True,False,10:28:42,19:28:11,-1.3,-31.82,False,True,M02,192.168.1.15
E0066,2025-01-02,True,False,10:48:45,,18.75,,True,,M01,192.168.1.10
E0067,2025-01-02,True,False,10:43:01,20:13:43,13.02,13.72,True,False,M03,192.168.1.20
E0068,2025-01-02,True,False,10:22:06,19:38:45,-7.9,-21.25,False,True,M03,192.168.1.20
E0069,2025-01-02,True,False,10:28:55,20:04:25,-1.08,4.42,False,False,M01,192.168.1.10
E0070,2025-01-02,True,False,10:13:36,20:09:45,-16.4,9.75,False,False,M03,192.168.1.20
E0071,2025-01-02,True,False,10:28:16,20:10:40,-1.73,10.67,False,False,M03,192.168.1.20
E0072,2025-01-02,True,False,10:29:13,19:41:34,-0.78,-18.43,False,True,M02,192.168.1.15
E0073,2025-01-02,True,False,10:48:37,20:21:08,18.62,21.13,True,False,M02,192.168.1.15
E0074,2025-01-02,True,False,10:44:00,20:15:04,14.0,15.07,True,False,M02,192.168.1.15
E0075,2025-01-02,True,False,10:18:41,19:55:36,-11.32,-4.4,False,True,M01,192.168.1.10
E0076,2025-01-02,True,False,10:32:26,19:36:31,2.43,-23.48,True,True,M01,192.168.1.10
E0077,2025-01-02,False,,,,,,,,,
E0078,2025-01-02,True,False,10:36:57,20:19:08,6.95,19.13,True,False,M02,192.168.1.15
E0079,2025-01-02,True,False,,20:09:02,,9.03,,False,M02,192.168.1.15
E0080,2025-01-02,True,False,10:43:01,20:20:09,13.02,20.15,True,False,M01,192.168.1.10
E0081,2025-01-02,True,False,10:26:24,19:59:50,-3.6,-0.17,False,True,M02,192.168.1.15
E0082,2025-01-02,True,False,10:27:32,20:03:57,-2.47,3.95,False,False,M03,192.168.1.20
E0083,2025-01-02,True,False,10:29:56,19:47:26,-0.07,-12.57,False,True,M03,192.168.1.20
E0084,2025-01-02,True,False,10:21:24,19:40:06,-8.6,-19.9,False,True,M02,192.168.1.15
E0085,2025-01-02,True,False,10:24:27,19:38:30,-5.55,-21.5,False,True,M02,192.168.1.15
E0086,2025-01-02,True,False,10:33:41,20:03:22,3.68,3.37,True,False,M03,192.168.1.20
E0087,2025-01-02,True,False,10:31:51,20:04:20,1.85,4.33,True,False,M01,192.168.1.10
E0088,2025-01-02,True,False,10:21:31,20:04:51,-8.48,4.85,False,False,M02,192.168.1.15
E0089,2025-01-02,True,False,10:18:19,,-11.68,,False,,M01,192.168.1.10
E0090,2025-01-02,True,False,10:39:55,20:12:16,9.92,12.27,True,False,M01,192.168.1.10
E0091,2025-01-02,True,False,10:19:46,20:00:56,-10.23,0.93,False,False,M01,192.168.1.10
E0092,2025-01-02,True,False,10:42:45,20:03:49,12.75,3.82,True,False,M03,192.168.1.20
E0093,2025-01-02,True,False,10:31:42,19:35:10,1.7,-24.83,True,True,M01,192.168.1.10
E0094,2025-01-02,True,False,10:29:59,20:13:36,-0.02,13.6,False,False,M01,192.168.1.10
E0095,2025-01-02,True,False,10:35:46,20:14:17,5.77,14.28,True,False,M03,192.168.1.20
E0096,2025-01-02,True,False,10:27:27,19:55:11,-2.55,-4.82,False,True,M03,192.168.1.20
E0097,2025-01-02,True,False,10:38:08,20:11:27,8.13,11.45,True,False,M03,192.168.1.20
E0098,2025-01-02,True,False,10:39:47,20:13:40,9.78,13.67,True,False,M01,192.168.1.10
E0099,2025-01-02,True,False,10:22:11,19:36:11,-7.82,-23.82,False,True,M03,192.168.1.20
E0100,2025-01-02,True,False,10:32:21,19:56:21,2.35,-3.65,True,True,M02,192.168.1.15
E0001,2025-01-03,True,False,10:30:12,19:30:14,0.2,-29.77,True,True,M01,192.168.1.10
E0002,2025-01-03,True,False,10:28:32,19:51:30,-1.47,-8.5,False,True,M02,192.168.1.15
E0003,2025-01-03,True,False,10:19:47,20:02:25,-10.22,2.42,False,False,M02,192.168.1.15
E0004,2025-01-03,False,,,,,,,,,
E0005,2025-01-03,True,False,10:23:26,20:03:50,-6.57,3.83,False,False,M03,192.168.1.20
E0006,2025-01-03,True,False,,19:45:14,,-14.77,,True,M01,192.168.1.10
E0007,2025-01-03,True,False,10:46:43,20:13:03,16.72,13.05,True,False,M01,192.168.1.10
E0008,2025-01-03,True,False,10:13:46,20:06:10,-16.23,6.17,False,False,M01,192.168.1.10
E0009,2025-01-03,True,False,10:16:10,19:53:50,-13.83,-6.17,False,True,M02,192.168.1.15
E0010,2025-01-03,True,False,10:35:14,19:33:46,5.23,-26.23,True,True,M03,192.168.1.20
E0011,2025-01-03,True,False,10:27:00,19:49:05,-3.0,-10.92,False,True,M02,192.168.1.15
E0012,2025-01-03,False,,,,,,,,,
E0013,2025-01-03,True,False,10:32:24,19:40:28,2.4,-19.53,True,True,M01,192.168.1.10
E0014,2025-01-03,True,False,10:33:05,20:03:20,3.08,3.33,True,False,M02,192.168.1.15
E0015,2025-01-03,True,False,10:26:59,19:48:30,-3.02,-11.5,False,True,M02,192.168.1.15
E0016,2025-01-03,True,False,10:40:41,20:10:48,10.68,10.8,True,False,M02,192.168.1.15
E0017,2025-01-03,True,False,10:41:55,20:10:48,11.92,10.8,True,False,M01,192.168.1.10
E0018,2025-01-03,True,False,10:25:15,19:40:06,-4.75,-19.9,False,True,M03,192.168.1.20
E0019,2025-01-03,True,False,10:28:21,19:48:56,-1.65,-11.07,False,True,M02,192.168.1.15
E0020,2025-01-03,True,False,10:34:04,20:03:08,4.07,3.13,True,False,M03,192.168.1.20
E0021,2025-01-03,True,False,10:36:46,20:13:22,6.77,13.37,True,False,M01,192.168.1.10
E0022,2025-01-03,True,False,10:33:22,20:13:14,3.37,13.23,True,False,M03,192.168.1.20
E0023,2025-01-03,True,False,10:25:40,20:08:56,-4.33,8.93,False,False,M01,192.168.1.10
E0024,2025-01-03,True,True,10:30:00,20:00:00,0.0,0.0,False,False,M03,192.168.1.20
E0025,2025-01-03,True,False,10:16:53,20:04:43,-13.12,4.72,False,False,M02,192.168.1.15
E0026,2025-01-03,True,True,10:30:00,20:00:00,0.0,0.0,False,False,M02,192.168.1.15
E0027,2025-01-03,True,False,10:20:45,19:58:36,-9.25,-1.4,False,True,M03,192.168.1.20
E0028,2025-01-03,True,False,10:40:55,19:56:17,10.92,-3.72,True,True,M03,192.168.1.20
E0029,2025-01-03,True,False,10:40:38,20:14:37,10.63,14.62,True,False,M01,192.168.1.10
E0030,2025-01-03,True,False,10:32:25,19:44:41,2.42,-15.32,True,True,M01,192.168.1.10
E0031,2025-01-03,True,False,10:38:32,19:56:18,8.53,-3.7,True,True,M02,192.168.1.15
E0032,2025-01-03,True,False,10:40:48,19:43:25,10.8,-16.58,True,True,M03,192.168.1.20
E0033,2025-01-03,True,False,10:19:32,20:07:05,-10.47,7.08,False,False,M01,192.168.1.10
E0034,2025-01-03,False,,,,,,,,,
E0035,2025-01-03,True,False,10:32:29,19:40:13,2.48,-19.78,True,True,M02,192.168.1.15
E0036,2025-01-03,True,False,10:21:27,20:03:50,-8.55,3.83,False,False,M01,192.168.1.10
E0037,2025-01-03,True,False,10:27:23,20:22:48,-2.62,22.8,False,False,M03,192.168.1.20
E0038,2025-01-03,True,False,10:34:23,19:56:26,4.38,-3.57,True,True,M03,192.168.1.20
E0039,2025-01-03,False,,,,,,,,,
E0040,2025-01-03,True,False,10:26:34,,-3.43,,False,,M01,192.168.1.10
E0041,2025-01-03,True,False,10:21:42,19:43:24,-8.3,-16.6,False,True,M02,192.168.1.15
E0042,2025-01-03,False,,,,,,,,,
E0043,2025-01-03,True,False,10:19:15,20:03:44,-10.75,3.73,False,False,M03,192.168.1.20
E0044,2025-01-03,True,False,10:29:59,19:52:24,-0.02,-7.6,False,True,M01,192.168.1.10
E0045,2025-01-03,True,False,10:17:54,20:09:41,-12.1,9.68,False,False,M03,192.168.1.20
E0046,2025-01-03,True,False,10:31:14,19:47:25,1.23,-12.58,True,True,M01,192.168.1.10
E0047,2025-01-03,True,False,10:45:45,20:15:54,15.75,15.9,True,False,M01,192.168.1.10
E0048,2025-01-03,True,False,10:32:12,19:55:06,2.2,-4.9,True,True,M02,192.168.1.15
E0049,2025-01-03,True,False,10:22:54,20:12:43,-7.1,12.72,False,False,M01,192.168.1.10
E0050,2025-01-03,True,False,10:36:22,20:13:31,6.37,13.52,True,False,M01,192.168.1.10
E0051,2025-01-03,True,False,10:28:19,19:58:03,-1.68,-1.95,False,True,M02,192.168.1.15
E0052,2025-01-03,True,False,10:24:03,20:00:07,-5.95,0.12,False,False,M01,192.168.1.10
E0053,2025-01-03,True,False,10:37:50,19:36:51,7.83,-23.15,True,True,M01,192.168.1.10
E0054,2025-01-03,True,False,10:29:59,19:56:19,-0.02,-3.68,False,True,M01,192.168.1.10
E0055,2025-01-03,True,False,10:38:47,20:05:30,8.78,5.5,True,False,M03,192.168.1.20
E0056,2025-01-03,True,False,10:43:39,19:57:01,13.65,-2.98,True,True,M02,192.168.1.15
E0057,2025-01-03,True,False,10:32:31,19:35:29,2.52,-24.52,True,True,M01,192.168.1.10
E0058,2025-01-03,True,False,10:19:03,19:50:41,-10.95,-9.32,False,True,M03,192.168.1.20
E0059,2025-01-03,True,False,10:25:36,19:44:46,-4.4,-15.23,False,True,M02,192.168.1.15
E0060,2025-01-03,True,False,10:35:42,19:30:16,5.7,-29.73,True,True,M01,192.168.1.10
E0061,2025-01-03,True,False,10:26:19,20:11:21,-3.68,11.35,False,False,M04_HQ,10.0.0.5
E0062,2025-01-03,True,False,10:36:26,19:40:40,6.43,-19.33,True,True,M03,192.168.1.20
E0063,2025-01-03,True,False,10:34:29,20:21:50,4.48,21.83,True,False,M01,192.168.1.10
E0064,2025-01-03,True,False,10:38:06,19:51:01,8.1,-8.98,True,True,M04_HQ,10.0.0.5
E0065,2025-01-03,True,False,10:19:02,20:04:37,-10.97,4.62,False,False,M02,192.168.1.15
E0066,2025-01-03,True,False,10:27:05,19:54:36,-2.92,-5.4,False,True,M01,192.168.1.10
E0067,2025-01-03,True,False,10:29:47,19:48:51,-0.22,-11.15,False,True,M03,192.168.1.20
E0068,2025-01-03,True,False,10:25:50,20:07:43,-4.17,7.72,False,False,M01,192.168.1.10
E0069,2025-01-03,False,,,,,,,,,
E0070,2025-01-03,True,False,10:30:31,20:18:25,0.52,18.42,True,False,M03,192.168.1.20
E0071,2025-01-03,True,False,10:27:44,19:36:55,-2.27,-23.08,False,True,M03,192.168.1.20
E0072,2025-01-03,True,False,10:21:22,19:44:49,-8.63,-15.18,False,True,M02,192.168.1.15
E0073,2025-01-03,True,False,10:29:13,19:59:33,-0.78,-0.45,False,True,M02,192.168.1.15
E0074,2025-01-03,True,False,10:33:19,,3.32,,True,,M02,192.168.1.15
E0075,2025-01-03,True,False,10:34:29,19:50:02,4.48,-9.97,True,True,M01,192.168.1.10
E0076,2025-01-03,True,False,10:31:50,19:54:49,1.83,-5.18,True,True,M01,192.168.1.10
E0077,2025-01-03,True,False,10:24:52,19:41:33,-5.13,-18.45,False,True,M01,192.168.1.10
E0078,2025-01-03,True,False,10:18:51,19:58:32,-11.15,-1.47,False,True,M02,192.168.1.15
E0079,2025-01-03,True,False,10:43:37,20:18:34,13.62,18.57,True,False,M02,192.168.1.15
E0080,2025-01-03,True,False,10:36:36,20:00:08,6.6,0.13,True,False,M01,192.168.1.10
E0081,2025-01-03,True,False,10:33:52,20:04:42,3.87,4.7,True,False,M02,192.168.1.15
